id,Education
8301,"[{""School"":""Carnegie Mellon University - Tepper School of Business"",""Name"":""Master of Business Administration (MBA)"",""Program"":"""",""Year"":""2015"",""GPA"":"""",""Details"":"""",""Duration"":""2013 - 2015"",""AcadsRec"":1}]"
8482,"[{""School"":""Novosibirsk State University (NSU)"",""Name"":""Masters, "",""Program"":""Physics"",""Year"":""1985"",""GPA"":"""",""Details"":"""",""Duration"":""1980 - 1985"",""AcadsRec"":1}]"
10519,"[{""School"":""Carnegie Mellon University"",""Name"":""Master's degree, "",""Program"":""Information Systems Management"",""Year"":""2011"",""GPA"":"""",""Details"":"""",""Duration"":""2010 - 2011"",""AcadsRec"":1},{""School"":""Anna University"",""Name"":""Bachelor of Engineering (B.E.), "",""Program"":""Computer Science"",""Year"":""2010"",""GPA"":"""",""Details"":"""",""Duration"":""2006 - 2010"",""AcadsRec"":2}]"
10521,"[{""School"":""Belarusian State University of Informatics and Radioelectronics"",""Name"":""Engineer's Degree, "",""Program"":""Information Technologies and Management"",""Year"":"""",""GPA"":"""",""Details"":"""",""Duration"":"" - "",""AcadsRec"":1}]"
10524,"[{""School"":""University of Southern California"",""Name"":""Doctor of Philosophy (Ph.D.), "",""Program"":""Nanotechnology/Nanoscience"",""Year"":""2007"",""GPA"":"""",""Details"":"""",""Duration"":""2002 - 2007"",""AcadsRec"":1}]"
10526,"[{""School"":""California State University-Sacramento"",""Name"":""Master of Science, "",""Program"":""Computer Science"",""Year"":""2010"",""GPA"":"""",""Details"":"""",""Duration"":""2007 - 2010"",""AcadsRec"":1},{""School"":""L.D College of Engineering - Ahmedabad"",""Name"":""Bachelor of Engineering, "",""Program"":""Computer Engineering"",""Year"":""2006"",""GPA"":"""",""Details"":"""",""Duration"":""2002 - 2006"",""AcadsRec"":2},{""School"":""C N Vidyalaya"",""Name"":"""",""Program"":"""",""Year"":"""",""GPA"":"""",""Details"":"""",""Duration"":"" - "",""AcadsRec"":3}]"
10527,"[{""School"":""Arizona State University"",""Name"":""Master's Degree, "",""Program"":""Computer Science"",""Year"":""2014"",""GPA"":"""",""Details"":"""",""Duration"":""2012 - 2014"",""AcadsRec"":1},{""School"":""Pune Institute of Computer Technology"",""Name"":""Bachelor's Degree, "",""Program"":""Computer Engineering"",""Year"":""2009"",""GPA"":"""",""Details"":"""",""Duration"":""2005 - 2009"",""AcadsRec"":2}]"
10537,"[{""School"":""Carnegie Mellon University"",""Name"":""Master, "",""Program"":""Electrical Engineering"",""Year"":""2005"",""GPA"":"""",""Details"":"""",""Duration"":""2004 - 2005"",""AcadsRec"":1},{""School"":""National Taiwan University"",""Name"":""Bachelor, "",""Program"":""Computer Sciense Information Engineering"",""Year"":""2003"",""GPA"":"""",""Details"":"""",""Duration"":""1999 - 2003"",""AcadsRec"":2}]"
10538,"[{""School"":""Tsinghua University"",""Name"":""Master, "",""Program"":""Electronic Engineering"",""Year"":""1989"",""GPA"":"""",""Details"":"""",""Duration"":""1986 - 1989"",""AcadsRec"":1},{""School"":""Tsinghua University"",""Name"":""Bachelor, "",""Program"":""Electronic Engineering"",""Year"":""1986"",""GPA"":"""",""Details"":"""",""Duration"":""1981 - 1986"",""AcadsRec"":2}]"
10542,"[{""School"":""University of Wisconsin-Madison"",""Name"":""BS, "",""Program"":""Computer Science"",""Year"":""1989"",""GPA"":"""",""Details"":"""",""Duration"":""1984 - 1989"",""AcadsRec"":1}]"
