Date,Time1,Time2
9/4/2018,0:00,0:45
9/5/2018,0:00,0:35
9/6/2018,0:00,0:45
9/6/2018,0:00,0:31
9/7/2018,0:00,0:23
9/7/2018,0:00,0:12
5/9/2018,0:00,2:01
5/9/2018,0:00,0:28
5/9/2018,0:00,1:26
5/9/2018,0:00,0:32
5/9/2018,0:00,0:53
6/9/2018,0:00,1:26
6/9/2018,0:00,0:23
6/9/2018,0:00,0:32
6/9/2018,0:00,1:47
6/9/2018,0:00,0:53
7/9/2018,0:00,1:26
7/9/2018,0:00,0:22
7/9/2018,0:00,0:32
7/9/2018,0:00,1:47
7/9/2018,0:00,1:42
3/9/2018,0:00,0:38
3/9/2018,0:00,0:13
3/9/2018,0:00,0:35
3/9/2018,0:00,0:57
3/9/2018,0:00,0:40
3/9/2018,0:00,0:39
4/9/2018,0:00,0:51
4/9/2018,0:00,0:34
4/9/2018,0:00,0:39
4/9/2018,0:00,0:00
4/9/2018,0:00,0:29
5/9/2018,0:00,0:46
5/9/2018,0:00,0:39
5/9/2018,0:00,0:29
6/9/2018,0:00,1:01
6/9/2018,0:00,0:39
6/9/2018,0:00,0:29
7/9/2018,0:30,1:45
7/9/2018,0:30,1:39
7/9/2018,0:30,0:59
7/9/2018,0:30,0:48
7/9/2018,0:30,0:49
7/9/2018,0:30,1:19
3/9/2018,0:30,1:20
3/9/2018,0:30,1:40
3/9/2018,0:30,1:30
3/9/2018,0:30,1:30
3/9/2018,0:30,1:30
3/9/2018,0:30,1:35
3/9/2018,0:30,1:40
3/9/2018,0:30,1:35
3/9/2018,0:30,2:00
3/9/2018,0:30,1:45
3/9/2018,0:30,1:45
3/9/2018,0:30,1:45
3/9/2018,0:30,1:45
3/9/2018,0:30,1:45
3/9/2018,0:30,1:30
3/9/2018,0:30,1:30
3/9/2018,0:30,0:20
3/9/2018,0:30,0:20
3/9/2018,0:30,0:20
4/9/2018,0:30,1:20
4/9/2018,0:30,1:40
4/9/2018,0:30,1:30
4/9/2018,0:30,1:30
4/9/2018,0:30,1:30
4/9/2018,0:30,1:35
4/9/2018,0:30,1:40
4/9/2018,0:30,1:35
4/9/2018,0:30,2:00
4/9/2018,0:30,1:45
4/9/2018,0:30,1:45
4/9/2018,0:30,1:45
4/9/2018,0:30,1:45
4/9/2018,0:30,1:45
4/9/2018,0:30,1:30
4/9/2018,0:30,1:30
4/9/2018,0:30,0:20
4/9/2018,0:30,0:20
4/9/2018,0:30,0:20
7/9/2018,5:25,6:00
7/9/2018,5:25,6:00
7/9/2018,5:25,6:00
7/9/2018,5:25,6:00
7/9/2018,5:26,5:47
9/3/2018,5:26,6:15
6/9/2018,5:26,6:00
7/9/2018,5:26,6:00
5/9/2018,5:26,5:48
4/9/2018,5:27,5:48
3/9/2018,5:27,8:00
3/9/2018,5:28,5:51
3/9/2018,5:28,6:16
6/9/2018,5:29,5:49
4/9/2018,5:30,6:13
4/9/2018,5:30,6:11
5/9/2018,5:30,6:18
5/9/2018,5:30,6:15
5/9/2018,5:30,5:59
6/9/2018,5:30,6:16
6/9/2018,5:30,6:14
6/9/2018,5:30,6:19
7/9/2018,5:30,6:14
7/9/2018,5:30,5:55
9/4/2018,5:30,6:15
7/9/2018,5:30,6:04
3/9/2018,5:30,6:00
3/9/2018,5:30,6:00
4/9/2018,5:30,6:00
4/9/2018,5:30,6:00
5/9/2018,5:30,6:00
5/9/2018,5:30,6:00
6/9/2018,5:30,6:00
6/9/2018,5:30,6:00
7/9/2018,5:30,6:00
7/9/2018,5:30,6:00
3/9/2018,5:30,7:00
7/9/2018,5:30,5:30
7/9/2018,5:31,6:07
6/9/2018,5:31,6:18
3/9/2018,5:32,6:25
5/9/2018,5:33,6:22
6/9/2018,5:33,6:29
7/9/2018,23:30,0:02
7/9/2018,23:30,0:10
7/9/2018,23:30,0:07
4/9/2018,23:30,23:57
5/9/2018,23:31,23:32
3/9/2018,23:33,0:00
4/9/2018,23:33,0:00
5/9/2018,23:33,0:00
4/9/2018,23:34,23:35
4/9/2018,23:35,23:36
4/9/2018,23:35,0:00
7/9/2018,23:44,23:44
6/9/2018,23:45,0:00
4/9/2018,23:49,23:53
6/9/2018,23:50,23:54
3/9/2018,23:50,1:00
6/9/2018,23:59,0:00
6/9/2018,,12:22
3/9/2018,,8:04
